row_id,phrase_score
1,0.9578
2,0.9578
3,0.946
4,0.9712
5,0.5859
6,-0.3612
7,-0.7269
8,-0.7269
9,-0.9206
10,-0.8967
11,-0.3612
12,0.9882
13,0.9842
14,-0.9623
15,-0.9595
16,0.9901
17,-0.9468
18,0.9834
19,-0.872
20,-0.9517
21,0.8074
22,0.8074
23,0.5859
24,-0.3107
25,-0.5267
26,0.7506
27,0.0516
28,0.7783
29,0.979
30,-0.9081
31,-0.9081
32,0.9103
33,-0.5267
34,0.9531
35,-0.7184
36,0.9517
37,0.9845
38,-0.296
39,0.8271
40,-0.9538
41,0.8957
42,0.8957
43,-0.8979
44,-0.9155
45,0.0
46,0.0
47,-0.9897
48,-0.9897
49,-0.1068
50,0.872
51,-0.9643
52,0.872
53,-0.9578
54,-0.8625
55,-0.8957
56,-0.8957
57,-0.9683
58,-0.9902
59,-0.9325
60,-0.714
61,-0.9896
62,-0.9086
63,-0.8625
64,0.0
65,0.959
66,0.9413
67,-0.8495
68,-0.8495
69,0.9796
70,0.0
71,0.9228
72,0.9617
73,0.0
74,0.0
75,-0.5719
76,0.6808
77,-0.9347
78,-0.9601
79,-0.9509
80,-0.9498
81,0.0
82,0.0
83,0.0
84,0.6124
85,0.6124
86,0.2732
87,-0.743
88,-0.6946
89,-0.7676
90,-0.7676
91,0.0
92,0.6486
93,0.6486
94,-0.7964
95,-0.7964
96,0.8807
97,-0.9298
98,0.9672
99,0.9579
100,-0.5679
101,0.8613
102,0.8126
103,0.8126
104,0.8948
105,0.9936
106,0.0
107,0.0
108,0.0
109,-0.7096
110,0.0
111,0.8519
112,0.9559
113,0.0
114,-0.9421
115,-0.9421
116,0.8053
117,0.8807
118,0.0
119,0.4404
120,0.4404
121,0.9481
122,0.9481
123,0.8807
124,0.3903
125,0.0
126,0.0
127,-0.1531
128,-0.9535
129,-0.9535
130,0.0516
131,-0.6609
132,0.9681
133,0.8864
134,0.9751
135,0.9248
136,0.9248
137,0.9796
138,0.0
139,0.0
140,-0.8674
141,0.6486
142,0.9517
143,0.9517
144,0.6808
145,0.6808
146,0.0
147,0.986
148,0.9903
149,-0.8807
150,-0.8807
151,0.9579
152,0.9579
153,0.0772
154,0.9849
155,0.9776
156,0.6808
157,-0.6486
158,-0.5719
159,0.34
160,0.9855
161,-0.8402
162,-0.8402
163,-0.9557
164,-0.9557
165,0.8847
166,0.8316
167,-0.8118
168,0.0
169,0.6486
170,-0.9568
171,0.9716
172,0.9716
173,-0.2344
174,-0.8753
175,-0.2344
176,-0.7579
177,-0.8118
178,0.8587
179,0.0
180,0.0
181,-0.5267
182,-0.9468
183,0.9849
184,-0.5254
185,-0.5254
186,-0.7579
187,0.9821
188,0.7096
189,0.7096
190,0.4767
191,-0.9514
192,-0.9509
193,-0.4767
194,0.9734
195,0.8834
196,0.4215
197,0.8807
198,0.0
199,0.0
200,0.8625
201,0.8625
202,0.0772
203,-0.9509
204,0.8887
205,-0.6705
206,0.6641
207,-0.9915
208,0.8233
209,0.8825
210,0.5267
211,0.0
212,0.6369
213,0.8137
214,0.0
215,-0.3612
216,0.0
217,0.9808
218,0.9886
219,-0.9832
220,0.7783
221,0.7858
222,0.6369
223,-0.9744
224,-0.4767
225,-0.4767
226,-0.9604
227,-0.8806
228,0.0134
229,0.9882
230,0.7717
231,0.0
232,0.9966
233,0.9535
234,0.5719
235,0.0
236,0.877
237,0.0
238,0.8402
239,0.5267
240,0.8402
241,0.8834
242,0.25
243,0.25
244,0.9716
245,0.9851
246,0.0
247,0.0
248,0.0
249,0.9988
250,0.9991
251,0.4576
252,0.4576
253,0.9851
254,0.992
255,0.0
256,0.8375
257,0.0
258,0.631
259,0.0
260,0.0
261,0.2023
262,0.0772
263,0.0772
264,-0.8934
265,-0.8934
266,0.7096
267,0.7096
268,0.631
269,0.0
270,0.0
271,0.0
272,-0.9274
273,-0.9274
274,0.6808
275,0.6808
276,0.0
277,0.3818
278,-0.995
279,0.9081
280,0.0
281,-0.5279
282,-0.9879
283,0.9413
284,-0.5279
285,0.3818
286,0.0
287,0.0
288,-0.8943
289,0.0
290,0.8689
291,0.8689
292,0.0
293,0.2263
294,0.7964
295,0.7964
296,0.3612
297,0.9081
298,0.6808
299,0.3612
300,0.8332
301,0.9081
302,0.9682
303,0.9682
304,0.1531
305,0.0
306,0.0
307,0.0
308,0.34
309,0.0
310,-0.8835
311,0.6428
312,0.2242
313,0.9224
314,0.9224
315,0.0
316,0.0
317,-0.8835
318,0.4497
319,-0.6808
320,0.8402
321,0.8402
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0772
327,-0.8685
328,0.0772
329,-0.5413
330,0.9359
331,0.9882
332,0.0
333,0.0
334,0.9651
335,0.9582
336,0.9694
337,0.9331
338,-0.8858
339,0.9806
340,0.4215
341,0.4215
342,0.0
343,0.3291
344,-0.8858
345,-0.296
346,-0.6447
347,0.8925
348,0.6167
349,0.9502
350,0.0
351,0.8271
352,0.0
353,0.9944
354,0.9945
355,0.8074
356,0.7506
357,0.5267
358,0.0
359,0.0
360,0.9342
361,0.9342
362,0.6808
363,-0.872
364,-0.872
365,0.9313
366,0.9313
367,-0.9753
368,-0.9939
369,-0.5106
370,-0.5106
371,-0.8519
372,-0.8519
373,-0.8126
374,0.9337
375,-0.8126
376,-0.9796
377,0.9346
378,-0.8481
379,-0.8481
380,-0.7096
381,-0.6124
382,0.0
383,-0.7096
384,0.9638
385,0.9913
386,0.9977
387,0.9953
388,0.34
389,0.34
390,-0.7404
391,0.9843
392,0.9843
393,-0.7404
394,0.978
395,-0.0772
396,0.9354
397,0.9562
398,0.8807
399,0.7096
400,-0.8625
401,-0.9246
402,0.2263
403,-0.7506
404,0.9918
405,0.9616
406,0.9925
407,-0.8442
408,0.886
409,0.8614
410,0.2163
411,0.2732
412,0.0
413,0.976
414,0.7845
415,0.0
416,0.9927
417,0.5927
418,0.5927
419,0.0
420,0.0
421,-0.6486
422,0.9231
423,0.0772
424,0.9371
425,0.9469
426,0.8519
427,0.9349
428,-0.93
429,-0.93
430,0.8519
431,0.0
432,0.6605
433,0.6605
434,0.8519
435,0.0
436,0.967
437,0.967
438,-0.6908
439,-0.296
440,-0.7259
441,-0.9666
442,-0.9666
443,0.972
444,0.9664
445,0.9866
446,0.9589
447,0.9217
448,-0.5346
449,0.4215
450,-0.6187
451,0.0258
452,0.9664
453,0.9468
454,0.8957
455,-0.872
456,-0.872
457,-0.6735
458,-0.5391
459,0.7269
460,0.7269
461,0.2023
462,0.2023
463,-0.6808
464,-0.6808
465,0.9867
466,0.9771
467,-0.9578
468,0.7046
469,0.8957
470,-0.431
471,-0.431
472,0.3612
473,-0.0772
474,-0.0772
475,-0.296
476,-0.9913
477,-0.4215
478,-0.4215
479,0.891
480,0.0
481,0.9169
482,-0.178
483,-0.178
484,0.8979
485,0.0
486,0.5267
487,0.765
488,0.8934
489,0.0
490,0.9571
491,0.3612
492,0.7124
493,-0.2617
494,0.8271
495,0.8402
496,0.8402
497,0.296
498,0.9728
499,0.5267
500,-0.1531
501,0.9461
502,0.9646
503,0.9275
504,-0.8625
505,-0.1531
506,0.7003
507,0.8271
508,0.9275
509,-0.25
510,0.1531
511,-0.5499
512,-0.5647
513,0.6652
514,-0.6617
515,-0.8399
516,-0.9392
517,-0.4124
518,0.0
519,0.0
520,-0.9587
521,0.0
522,-0.886
523,0.0891
524,-0.6808
525,0.9578
526,0.7003
527,0.7003
528,0.9022
529,0.9829
530,0.2732
531,-0.7579
532,-0.7579
533,0.9493
534,-0.8779
535,-0.9912
536,0.4019
537,-0.3818
538,0.0
539,0.0
540,0.0
541,0.0
542,0.7096
543,0.2846
544,0.0
545,-0.7129
546,-0.9099
547,0.2313
548,-0.8402
549,0.5719
550,0.7096
551,0.7096
552,-0.8596
553,-0.8402
554,-0.7269
555,-0.5267
556,0.0
557,0.6059
558,-0.5741
559,0.0
560,-0.3744
561,0.0
562,-0.1027
563,-0.1027
564,0.8074
565,0.8074
566,0.2023
567,0.9297
568,-0.8885
569,-0.8885
570,0.0
571,0.0
572,0.7096
573,0.7096
574,0.0
575,-0.9587
576,0.0
577,0.9909
578,0.9865
579,0.9916
580,0.5719
581,0.0
582,0.8126
583,0.34
584,0.6369
585,0.3612
586,0.8126
587,0.8689
588,0.9765
589,0.0
590,0.8402
591,0.8402
592,-0.9709
593,0.0
594,-0.9736
595,-0.264
596,0.9552
597,0.9552
598,0.9684
599,0.9716
600,0.0
601,0.6808
602,-0.2732
603,0.7579
604,0.7579
605,0.9403
606,0.9403
607,0.3485
608,0.7647
609,-0.9866
610,0.2254
611,-0.9866
612,0.5913
613,0.7536
