row_id,phrase_score
1,0.0
2,0.0
3,0.9501
4,0.9501
5,0.0
6,-0.9136
7,0.0
8,0.5684
9,0.1901
10,0.2598
11,0.2598
12,-0.1645
13,-0.1645
14,0.8658
15,-0.8625
16,-0.8625
17,-0.7845
18,-0.7964
19,-0.7845
20,0.0
21,0.9978
22,0.4168
23,0.4168
24,0.0
25,0.0
26,-0.4767
27,0.9916
28,0.9916
29,0.9011
30,0.9011
31,-0.8591
32,-0.8591
33,0.9854
34,0.0
35,0.8957
36,0.875
37,0.9836
38,0.9836
39,0.0
40,0.7096
41,0.4767
42,0.8126
43,0.9916
44,0.9682
45,0.8957
46,0.9978
47,-0.8625
48,0.2732
49,0.9509
50,0.8126
51,0.8126
52,0.6369
53,0.9657
54,0.0
55,0.9451
56,0.8126
57,0.296
58,0.0
59,0.9001
60,0.9001
61,0.0
62,-0.2289
63,0.1128
64,-0.2289
65,0.0
66,0.0
67,-0.802
68,0.6124
69,0.6124
70,0.9169
71,-0.1531
72,0.0
73,0.5109
74,0.7351
75,0.3007
76,0.3007
77,0.0
78,0.0
79,-0.9987
80,0.4822
81,0.0
82,0.8807
83,-0.7096
84,0.9451
85,0.9451
86,0.0
87,0.0
88,0.7906
89,0.7906
90,-0.1531
91,0.9493
92,0.9682
93,0.9682
94,0.9186
95,0.0
96,-0.128
97,-0.128
98,-0.9259
99,-0.9461
100,-0.9259
101,0.0
102,-0.9921
103,-0.9921
104,-0.9921
105,0.0
106,0.0
107,0.6124
108,0.6124
109,0.2263
110,-0.9442
111,-0.9442
112,0.9186
113,0.9186
114,-0.362
115,-0.362
116,-0.362
117,0.924
118,-0.9274
119,-0.7096
120,-0.7096
121,-0.7096
122,-0.9643
123,0.8934
124,0.9274
125,0.8625
126,0.0
127,-0.7964
128,-0.6597
129,-0.993
130,-0.9828
131,-0.8095
132,0.0
133,0.6124
134,0.6124
135,0.9274
136,0.9559
137,0.9349
138,0.9349
139,-0.9442
140,-0.9442
141,0.4215
142,0.0
143,-0.2263
144,-0.8625
145,-0.7964
146,-0.6597
147,-0.6597
148,0.8402
149,-0.9837
150,0.0
151,0.0
152,-0.7559
153,0.4215
154,0.4215
155,0.8126
156,0.0
157,-0.9601
158,-0.9136
159,-0.4329
160,-0.6124
161,0.5291
162,0.4767
163,0.4767
164,0.4767
165,0.924
166,0.6124
167,0.6124
168,-0.9136
169,-0.4541
170,0.0
171,0.0
172,-0.9136
173,-0.9186
174,0.8126
175,0.8126
176,-0.9764
177,0.8807
178,-0.5499
179,0.0
180,0.9062
181,0.9528
182,0.9528
183,0.0
184,0.9472
185,0.0
186,-0.6494
187,-0.296
188,0.5291
189,0.6369
190,0.5229
191,-0.9694
192,-0.9694
193,0.9859
194,0.6486
195,0.6486
196,0.6486
197,0.0
198,0.0
199,0.9213
200,0.9657
201,0.9657
202,0.9657
203,0.9559
204,0.9559
205,0.9899
206,0.9899
207,0.9313
208,-0.9874
209,-0.9874
