DATE,SENTIMENT,SENTIMENT_PRED
2021-12-27/2022-01-02,0.1940441141804573,0.14282962995339937
2022-01-03/2022-01-09,0.08600865891363968,-0.00675026517639245
2022-01-10/2022-01-16,0.04620823470351531,0.0030244634898238076
2022-01-17/2022-01-23,0.08933818240457223,0.015746528551820425
2022-01-24/2022-01-30,0.14021391411929182,0.06607116480853886
2022-01-31/2022-02-06,-0.027378926690581323,-0.024438918781703286
2022-02-07/2022-02-13,-0.03954017276075961,-0.04743600099099714
2022-02-14/2022-02-20,-0.0454236577798783,-0.010714424516249599
2022-02-21/2022-02-27,-0.052326044249714966,-0.05012570335472661
2022-02-28/2022-03-06,-0.0013777892157412275,-0.02978788308632814
2022-03-07/2022-03-13,0.0824322489038408,-0.024199156517098655
2022-03-14/2022-03-20,-0.12898767780180698,-0.06130028809427299
2022-03-21/2022-03-27,0.013243680476590688,0.011271477598800069
2022-03-28/2022-04-03,0.04345473725981572,0.04332855350805559
2022-04-04/2022-04-10,0.11611264471507429,0.02750319745875143
2022-04-11/2022-04-17,-0.029664030544916745,-0.02663805357954458
2022-04-18/2022-04-24,0.009863380974781347,0.014857669239537658
2022-04-25/2022-05-01,0.0061028493634739285,-0.016718526157873406
2022-05-02/2022-05-08,0.050693813115640765,0.011348766102714285
2022-05-09/2022-05-15,-0.07576002222309876,-0.049314787699014866
2022-05-16/2022-05-22,-0.11284590158620735,-0.08884540418736704
2022-05-23/2022-05-29,-0.095719257450741,-0.07350708977683343
2022-05-30/2022-06-05,-0.16834726790353263,-0.11694722573442236
2022-06-06/2022-06-12,-0.1467817024384219,-0.06368900684561798
2022-06-13/2022-06-19,-0.07714195001549774,-0.05282713215865023
2022-06-20/2022-06-26,-0.03304897997716399,-0.04182314635080807
2022-06-27/2022-07-03,-0.15409150159129906,-0.07400434972351627
2022-07-04/2022-07-10,-0.18730343222073337,-0.13214907536291792
2022-07-11/2022-07-17,-0.1438719376699874,-0.11267940425880434
2022-07-18/2022-07-24,-0.10068127696906427,-0.06381732659064576
2022-07-25/2022-07-31,0.008809371577944486,0.0009455069419074887
2022-08-01/2022-08-07,-0.042545812806265994,-0.023230807274025708
2022-08-08/2022-08-14,0.00038444131840294264,-0.031020183831364827
2022-08-15/2022-08-21,0.07594048656297404,0.040761900810620796
2022-08-22/2022-08-28,-0.03682579096397339,-0.01937891510509718
2022-08-29/2022-09-04,-0.009355040176071173,-0.035000458616849243
2022-09-05/2022-09-11,0.009375893095995435,-0.03033265191339121
2022-09-12/2022-09-18,-0.033667233419865,-0.05397795383007466
2022-09-19/2022-09-25,0.0166446394417882,0.0021771052199152335
2022-09-26/2022-10-02,-0.008899988650087214,-0.036259592783789034
2022-10-03/2022-10-09,0.01645171482106544,-0.03785274986246684
2022-10-10/2022-10-16,-0.04401553321271482,0.0009031236732426561
2022-10-17/2022-10-23,-0.06981113047039926,-0.08787236939851246
2022-10-24/2022-10-30,-0.03909087935427451,-0.05527898561879096
2022-10-31/2022-11-06,-0.0752306451463729,-0.07797088136633382
2022-11-07/2022-11-13,-0.1625137613769619,-0.12475375204893471
2022-11-14/2022-11-20,-0.13545916076853554,-0.11359627496551308
2022-11-21/2022-11-27,-0.09472961987211122,-0.07697091732857686
2022-11-28/2022-12-04,-0.13838395576122273,-0.11472120593245075
2022-12-05/2022-12-11,-0.059643786108155634,-0.07042707897624716
2022-12-12/2022-12-18,-0.16969142546056934,-0.11566617287918221
2022-12-19/2022-12-25,-0.1356055805775205,-0.10952521495579144
2022-12-26/2023-01-01,-0.25474539738372093,-0.17409258301363473
2023-01-02/2023-01-08,-0.18055725518063587,-0.10859344334725307
2023-01-09/2023-01-15,-0.15272155636243487,-0.09794284976142516
2023-01-16/2023-01-22,-0.11076851702534649,-0.11716377020058763
2023-01-23/2023-01-29,0.034395518206563266,-0.040882592359749795
2023-01-30/2023-02-05,0.018275086788400546,-0.011290770159971047
2023-02-06/2023-02-12,-0.03809442609182326,-0.06000517734123274
2023-02-13/2023-02-19,-0.008110420863891967,-0.016654568445137075
2023-02-20/2023-02-26,-0.04701055094012288,-0.07317981496738282
2023-02-27/2023-03-05,-0.06300107275693403,-0.06402764430679321
2023-03-06/2023-03-12,-0.0556356531916099,-0.06887033842093687
2023-03-13/2023-03-19,-0.021580455764310832,-0.05478224658943746
2023-03-20/2023-03-26,-0.03113306838447269,-0.059888010030887694
2023-03-27/2023-04-02,-0.09291149027149001,-0.08300307611266276
2023-04-03/2023-04-09,-0.06129252125130996,-0.059164558676483014
2023-04-10/2023-04-16,-0.07468546343385236,-0.051040364323208215
2023-04-17/2023-04-23,-0.05375576928641865,-0.007612240377021845
2023-04-24/2023-04-30,0.015584000205256061,-0.010771919071827089
2023-05-01/2023-05-07,-0.0740057402317774,-0.07453051696841166
2023-05-08/2023-05-14,-0.043155844242272194,-0.05805162112340971
2023-05-15/2023-05-21,-0.0921165719422623,-0.05851948730479851
2023-05-22/2023-05-28,-0.049380055046128676,-0.04784602455298235
2023-05-29/2023-06-04,-0.02782627761119964,0.009829113851385712
2023-06-05/2023-06-11,-0.0013802871859839583,-0.04167714453506337
2023-06-12/2023-06-18,-0.05581898293365339,-0.04847632764985488
2023-06-19/2023-06-25,0.07190335459204303,0.020872602882976467
2023-06-26/2023-07-02,-0.014936546108877034,-0.039650620531540386
2023-07-03/2023-07-09,0.02013067492030668,0.015427474647459522
2023-07-10/2023-07-16,0.014841033215368716,-0.011979075648382076
2023-07-17/2023-07-23,-0.052924153229363384,0.004349863964708622
