DATE,SENTIMENT,SENTIMENT_PRED
2022-01,0.10248431204484804,0.03459911306909226
2022-02,-0.04592809427003966,-0.03826880186905579
2022-03,0.012835054569027332,-0.00807345401976337
2022-04,0.01932291542212358,-0.005038642585604993
2022-05,-0.05629080959259808,-0.046670717308790806
2022-06,-0.12151195549419024,-0.07464604449439885
2022-07,-0.11881710656986938,-0.08473333496859867
2022-08,-0.020843697721811716,-0.02653757997380335
2022-09,0.011162139284019674,-0.017901659263680172
2022-10,-0.030269300645956284,-0.043703340193758225
2022-11,-0.1271650257662597,-0.10379502007590498
2022-12,-0.1461894255854889,-0.11562891302871743
2023-01,-0.0924461006384459,-0.08595602221764069
2023-02,-0.028907486664279065,-0.03855904048910756
2023-03,-0.054763524344817134,-0.07099939860558974
2023-04,-0.049907728036388314,-0.032677132738747325
2023-05,-0.060165046535190156,-0.04755644381415732
2023-06,0.0007940436844469641,-0.020674701546959058
2023-07,-0.004062706908743554,-0.008677355803511274
2023-08,-0.03671677923563274,-0.0282844084851729
2023-09,0.0006379950203425846,-0.02752845547526255
2023-10,-0.10310152070844184,-0.05631884736991418
2023-11,0.010742432231512214,0.005432797183411741
